row_type,part,mode,repetition,MiB_s_median,MiB_s_min,MiB_s_max,effective_cores_median,effective_cores_min,effective_cores_max,cpu_us_op_median,cpu_us_op_min,cpu_us_op_max,peak_process_tasks_median,peak_process_tasks_min,peak_process_tasks_max,peak_go_threads_median,peak_go_threads_min,peak_go_threads_max,peak_not_in_go_median,peak_not_in_go_min,peak_not_in_go_max,peak_runnable_median,peak_runnable_min,peak_runnable_max,voluntary_cs_median,voluntary_cs_min,voluntary_cs_max,involuntary_cs_median,involuntary_cs_min,involuntary_cs_max,enter_op_median,enter_op_min,enter_op_max,unbounded_worker_max,throughput_over_blocking,throughput_over_forced_default
summary,resident,blocking,,41558.00613054495,41520.955334229526,42119.580094993275,7.815344095961377,7.780382985111152,7.850812496032376,187.3844886872598,185.55132976955724,188.91215500981562,37,34,40,37,34,40,26,25,30,993,993,993,21332,21076,22700,24283,24125,24570,,,,,1.0,1.5361798162746692
summary,resident,normal,,6439.198635370824,6362.439974599256,6550.743897093425,1.0749401246429051,1.0727892290192096,1.077320750150082,166.93694130480895,164.45777259405466,168.61286445170438,12,12,12,12,12,12,2,2,2,110,43,123,13625,13212,13892,116,92,119,0.004037322806387942,0.0040301809036089814,0.004037477655180916,,0.15494484059566183,0.2380231367589517
summary,resident,U1,,6276.938890903351,6144.232108656801,6374.640889838457,1.313749529326144,1.3101187110660346,1.3143929472964349,209.297804576376,206.19090079123558,213.227411969051,12,12,12,11,11,11,2,2,2,2,1,2,177067,172951,179442,19,11,19,1.931659561029528,1.931223371880706,1.945083487940631,1,0.15104042458595793,0.23202525169050486
summary,resident,U2,,12124.087832763136,12089.978445980048,12385.191004721744,2.562895312172108,2.552715648380909,2.564616507433679,210.5490890195187,207.0712116152219,211.98510184476612,13,13,13,11,11,12,2,2,2,3,2,73,293040,287820,296202,35,34,38,1.7761716203107358,1.7628343943859193,1.7874541262057095,2,0.2917389201656618,0.4481634407802567
summary,resident,U4,,22003.446992078545,21338.89153740552,22949.146740869586,4.939356238292065,4.913014715560185,4.9854030113418695,224.48102063600678,217.23696604647546,230.23757850533278,16,15,16,11,11,12,2,2,2,3,3,4,471683,465391,486127,6028,2434,7748,1.6705801851118234,1.665701668726289,1.6973038760266081,4,0.5294634906920164,0.8133511278554068
summary,resident,U8,,27092.258688517588,26729.187539413702,27135.504012955294,7.989163410148699,7.986500217590937,7.98950631538936,294.7890136962197,294.42999516703037,298.8928637792759,20,20,20,12,12,12,2,1,2,162,140,248,22101,22071,22201,20701,20673,20762,0.11942560888094784,0.1174603646526286,0.1204651435610171,8,0.6519143051140006,1.001457597456854
summary,resident,U16,,27431.58465472815,26507.46594813378,27590.661910654664,7.985784086279247,7.982551000822932,7.991639200215592,290.99853695280586,289.43793056285404,301.4863516509858,31,29,31,15,13,15,2,2,2,238,206,278,30001,27840,38168,23827,23624,24005,0.13970456043626775,0.13305786908729672,0.16031230987629283,16,0.660079421725819,1.0140006847934586
summary,resident,default,,27052.826557326913,26280.25493383668,27574.389296044,7.9871427754678335,7.980856309470108,7.987597648803934,295.2424493811209,289.43002957512806,303.9391234565097,169,160,173,13,13,14,2,2,2,602,587,714,26371,23016,28212,13349,13227,13599,0.08847956271245468,0.07589528242324578,0.09063694726971074,,0.6509654595157106,1.0
