mode,repetition,MiB_s,wall_s,user_cpu_s,system_cpu_s,process_cpu_s,effective_cores,cpu_us_op,peak_tasks,peak_go_threads,peak_not_in_go,peak_runnable,voluntary_cs,involuntary_cs,average_submit_batch_size,submit_batch_size_max,cqes_per_completion_drain,completion_batch_size_max,submit_enter_calls,wait_enter_calls,total_enter_calls_per_operation,force_async,lock_submitter_thread,record_issuer_tids,worker_config
U16,3,9690.678403253934,5.100984466,0.561338,13.142839,13.704177,2.6865749330043145,277.2329058100016,27,11,2,92,139547,75540,1.8263504027192787,749,3.17298928044162,77,27066,14489,0.840649781518045,True,True,False,"{""bounded_worker_limit_requested"": false, ""iowq_worker_limit_query_attempted"": true, ""iowq_worker_limit_registration_attempted"": true, ""iowq_worker_limit_registration_supported"": true, ""post_set_bounded_worker_max"": 16, ""post_set_query_error"": """", ""post_set_unbounded_worker_max"": 16, ""previous_bounded_worker_max"": 16, ""previous_unbounded_worker_max"": 63206, ""query_error"": """", ""registration_error"": """", ""registration_returned_bounded_worker_max"": 16, ""registration_returned_unbounded_worker_max"": 63206, ""requested_bounded_worker_max"": 16, ""requested_unbounded_worker_max"": 16, ""unbounded_worker_limit_requested"": true}"
U32,1,10925.947361088236,5.085508667,0.549177,17.075373,17.62455,3.4656415226201793,317.1936865596429,43,11,2,161,112518,59756,2.151808535357447,1000,5.386718371303926,146,25822,9176,0.6298682600244763,True,True,False,"{""bounded_worker_limit_requested"": false, ""iowq_worker_limit_query_attempted"": true, ""iowq_worker_limit_registration_attempted"": true, ""iowq_worker_limit_registration_supported"": true, ""post_set_bounded_worker_max"": 16, ""post_set_query_error"": """", ""post_set_unbounded_worker_max"": 32, ""previous_bounded_worker_max"": 16, ""previous_unbounded_worker_max"": 63206, ""query_error"": """", ""registration_error"": """", ""registration_returned_bounded_worker_max"": 16, ""registration_returned_unbounded_worker_max"": 63206, ""requested_bounded_worker_max"": 16, ""requested_unbounded_worker_max"": 32, ""unbounded_worker_limit_requested"": true}"
U32,2,10810.79163195257,5.092319034,0.566489,16.711512,17.278001,3.3929533645947134,313.8487430066119,44,12,2,154,108971,55867,2.181659665530633,908,5.1011860637509265,377,25234,9641,0.6334919712272034,True,True,False,"{""bounded_worker_limit_requested"": false, ""iowq_worker_limit_query_attempted"": true, ""iowq_worker_limit_registration_attempted"": true, ""iowq_worker_limit_registration_supported"": true, ""post_set_bounded_worker_max"": 16, ""post_set_query_error"": """", ""post_set_unbounded_worker_max"": 32, ""previous_bounded_worker_max"": 16, ""previous_unbounded_worker_max"": 63206, ""query_error"": """", ""registration_error"": """", ""registration_returned_bounded_worker_max"": 16, ""registration_returned_unbounded_worker_max"": 63206, ""requested_bounded_worker_max"": 16, ""requested_unbounded_worker_max"": 32, ""unbounded_worker_limit_requested"": true}"
U32,3,10533.968246871125,5.091528543,0.56872,16.002472,16.571192,3.25465955067317,308.96804265950703,42,10,2,169,116762,56403,2.019732630389757,760,4.499496644295302,138,26555,10707,0.69474587015699,True,True,False,"{""bounded_worker_limit_requested"": false, ""iowq_worker_limit_query_attempted"": true, ""iowq_worker_limit_registration_attempted"": true, ""iowq_worker_limit_registration_supported"": true, ""post_set_bounded_worker_max"": 16, ""post_set_query_error"": """", ""post_set_unbounded_worker_max"": 32, ""previous_bounded_worker_max"": 16, ""previous_unbounded_worker_max"": 63206, ""query_error"": """", ""registration_error"": """", ""registration_returned_bounded_worker_max"": 16, ""registration_returned_unbounded_worker_max"": 63206, ""requested_bounded_worker_max"": 16, ""requested_unbounded_worker_max"": 32, ""unbounded_worker_limit_requested"": true}"
U64,1,11197.517555613522,5.086663157,0.560308,17.867554,18.427861999999998,3.6227800880898777,323.53421819586356,74,10,2,244,91548,33202,2.3684144870888604,754,10.180160857908847,222,24049,4579,0.5026159626391377,True,True,False,"{""bounded_worker_limit_requested"": false, ""iowq_worker_limit_query_attempted"": true, ""iowq_worker_limit_registration_attempted"": true, ""iowq_worker_limit_registration_supported"": true, ""post_set_bounded_worker_max"": 16, ""post_set_query_error"": """", ""post_set_unbounded_worker_max"": 64, ""previous_bounded_worker_max"": 16, ""previous_unbounded_worker_max"": 63206, ""query_error"": """", ""registration_error"": """", ""registration_returned_bounded_worker_max"": 16, ""registration_returned_unbounded_worker_max"": 63206, ""requested_bounded_worker_max"": 16, ""requested_unbounded_worker_max"": 64, ""unbounded_worker_limit_requested"": true}"
U64,2,10874.247957422618,5.081730729,0.510849,17.155844,17.666693,3.4765110436059072,319.7012848353239,75,11,2,278,82767,28876,2.381383322559793,385,11.587334871042147,275,23205,3889,0.4903003981179877,True,True,False,"{""bounded_worker_limit_requested"": false, ""iowq_worker_limit_query_attempted"": true, ""iowq_worker_limit_registration_attempted"": true, ""iowq_worker_limit_registration_supported"": true, ""post_set_bounded_worker_max"": 16, ""post_set_query_error"": """", ""post_set_unbounded_worker_max"": 64, ""previous_bounded_worker_max"": 16, ""previous_unbounded_worker_max"": 63206, ""query_error"": """", ""registration_error"": """", ""registration_returned_bounded_worker_max"": 16, ""registration_returned_unbounded_worker_max"": 63206, ""requested_bounded_worker_max"": 16, ""requested_unbounded_worker_max"": 64, ""unbounded_worker_limit_requested"": true}"
U64,3,10942.378769834448,5.109857845,0.570791,17.401741,17.972532,3.517227395589124,321.4316986801159,73,9,2,1001,74432,35039,3.016508416055244,1000,9.248097915977505,207,18536,5007,0.42105733805487,True,True,False,"{""bounded_worker_limit_requested"": false, ""iowq_worker_limit_query_attempted"": true, ""iowq_worker_limit_registration_attempted"": true, ""iowq_worker_limit_registration_supported"": true, ""post_set_bounded_worker_max"": 16, ""post_set_query_error"": """", ""post_set_unbounded_worker_max"": 64, ""previous_bounded_worker_max"": 16, ""previous_unbounded_worker_max"": 63206, ""query_error"": """", ""registration_error"": """", ""registration_returned_bounded_worker_max"": 16, ""registration_returned_unbounded_worker_max"": 63206, ""requested_bounded_worker_max"": 16, ""requested_unbounded_worker_max"": 64, ""unbounded_worker_limit_requested"": true}"
default,1,11111.770045152523,5.085958382,0.392457,17.678051,18.070508,3.553019242932531,319.7527692253247,205,10,2,462,35819,30468,9.249427168576105,878,24.234133790737566,622,6110,1789,0.13977067629260007,True,True,False,"{""bounded_worker_limit_requested"": false, ""iowq_worker_limit_query_attempted"": true, ""iowq_worker_limit_registration_attempted"": false, ""iowq_worker_limit_registration_supported"": true, ""post_set_bounded_worker_max"": null, ""post_set_query_error"": """", ""post_set_unbounded_worker_max"": null, ""previous_bounded_worker_max"": 16, ""previous_unbounded_worker_max"": 63206, ""query_error"": """", ""registration_error"": """", ""registration_returned_bounded_worker_max"": null, ""registration_returned_unbounded_worker_max"": null, ""requested_bounded_worker_max"": null, ""requested_unbounded_worker_max"": null, ""unbounded_worker_limit_requested"": false}"
default,2,11130.970474620823,5.053198203,0.434626,17.810305,18.244931,3.6105710219655123,324.3716287090867,182,10,2,678,36608,29118,7.204688100422698,974,18.538892551087674,503,7807,2320,0.1800451579639803,True,True,False,"{""bounded_worker_limit_requested"": false, ""iowq_worker_limit_query_attempted"": true, ""iowq_worker_limit_registration_attempted"": false, ""iowq_worker_limit_registration_supported"": true, ""post_set_bounded_worker_max"": null, ""post_set_query_error"": """", ""post_set_unbounded_worker_max"": null, ""previous_bounded_worker_max"": 16, ""previous_unbounded_worker_max"": 63206, ""query_error"": """", ""registration_error"": """", ""registration_returned_bounded_worker_max"": null, ""registration_returned_unbounded_worker_max"": null, ""requested_bounded_worker_max"": null, ""requested_unbounded_worker_max"": null, ""unbounded_worker_limit_requested"": false}"
default,3,10940.657058655017,5.055912063,0.348069,17.230926,17.578995,3.476918660956544,317.79797523275784,220,9,2,683,27618,28177,12.267686848525171,832,33.852509179926564,701,4509,1183,0.102901563771129,True,True,False,"{""bounded_worker_limit_requested"": false, ""iowq_worker_limit_query_attempted"": true, ""iowq_worker_limit_registration_attempted"": false, ""iowq_worker_limit_registration_supported"": true, ""post_set_bounded_worker_max"": null, ""post_set_query_error"": """", ""post_set_unbounded_worker_max"": null, ""previous_bounded_worker_max"": 16, ""previous_unbounded_worker_max"": 63206, ""query_error"": """", ""registration_error"": """", ""registration_returned_bounded_worker_max"": null, ""registration_returned_unbounded_worker_max"": null, ""requested_bounded_worker_max"": null, ""requested_unbounded_worker_max"": null, ""unbounded_worker_limit_requested"": false}"
