mode,outstanding,MiB_s_median,MiB_s_min,MiB_s_max,wall_s_median,wall_s_min,wall_s_max,user_cpu_s_median,user_cpu_s_min,user_cpu_s_max,system_cpu_s_median,system_cpu_s_min,system_cpu_s_max,cpu_wall_median,cpu_wall_min,cpu_wall_max,cpu_us_op_median,cpu_us_op_min,cpu_us_op_max,peak_tasks_median,peak_tasks_min,peak_tasks_max,peak_go_threads_median,peak_go_threads_min,peak_go_threads_max,peak_not_in_go_median,peak_not_in_go_min,peak_not_in_go_max,peak_runnable_median,peak_runnable_min,peak_runnable_max,voluntary_cs_median,voluntary_cs_min,voluntary_cs_max,involuntary_cs_median,involuntary_cs_min,involuntary_cs_max,after_dontneed_ppm_median,after_dontneed_ppm_min,after_dontneed_ppm_max,before_measurement_ppm_median,before_measurement_ppm_min,before_measurement_ppm_max,enter_op_median,enter_op_min,enter_op_max,avg_submit_batch_median,avg_submit_batch_min,avg_submit_batch_max,max_submit_batch_median,max_submit_batch_min,max_submit_batch_max,avg_cq_drain_median,avg_cq_drain_min,avg_cq_drain_max,max_cq_drain_median,max_cq_drain_min,max_cq_drain_max,throughput_relative_to_B1000,worker_configurations_by_repetition
B4,4,6997.9963738267825,6029.114543938385,8732.68306718216,5.000568455,5.000431285,5.00098305,0.238108,0.225883,0.266302,8.83244,7.175914,12.778066,1.813953133844534,1.4801911155918772,2.6083607701889733,259.2103563569857,245.50721416962418,298.6895035720828,10,10,10,10,10,10,4,4,4,3,3,77,83008,73616,98737,52668,45817,67630,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.6958877085144407,"["""", """", """"]"
B16,16,7616.452522688832,7597.616693825869,7850.893553216132,5.001015878,5.000832037,5.001305216,0.272907,0.251078,0.297361,10.537872,10.530659,10.892934,2.1664810548527016,2.155909371819835,2.232796646115391,284.40032092916636,283.0595169335784,285.15271856413494,21,21,22,21,21,22,16,16,16,16,16,16,96550,93869,106117,48824,45117,50327,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.757387602092255,"["""", """", """"]"
B64,64,8306.144048533342,7880.184240341878,8464.188452684311,5.000833835,5.000515252,5.005086023,0.299771,0.27079,0.356073,12.085292,10.533678,12.300119,2.470961766401588,2.1644880727757276,2.530816343350869,297.4860238353196,274.67480540554243,299.002835002835,69,69,70,69,69,70,64,64,64,64,64,221,100807,97300,106301,52546,47340,56833,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.8259712122948578,"["""", """", """"]"
B256,256,7914.452309648917,6651.108653004089,8729.721496887065,5.000851411,5.000670074,5.001763231,0.265248,0.255573,0.291433,11.068895,8.527073,12.972968,2.266442665156803,1.7562938306335463,2.651945001672551,286.3675939260719,264.06031268791344,303.78346005862954,262,261,262,262,261,262,256,256,256,934,923,935,96716,93240,98402,44225,37291,60886,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.787020996825217,"["""", """", """"]"
B1000,1000,10056.214944169493,8685.558665659386,10558.079754378501,5.003087799,5.000944864,5.009737787,0.244957,0.244104,0.28024,11.702097,10.13359,13.28787,2.3918092142653693,2.075317221493766,2.7047244708966978,238.93882954231512,237.84388336410012,256.17579463491285,1005,449,1006,1005,449,1006,1000,440,1000,1000,1000,1000,90494,83578,91477,48209,37350,58115,0,0,0,0,0,0,,,,,,,,,,,,,,,,1.0,"["""", """", """"]"
normal,1000,5535.98999318692,5383.638014268635,6037.11080246578,5.060704291,5.050097803,5.147046876,0.134151,0.126171,0.142365,4.766871,4.598747,4.80904,0.9522007702810749,0.9336483082804966,0.9804572491761702,172.00189513581807,162.4050446077145,173.42330702881267,8,8,8,8,8,8,2,2,2,286,188,485,6440,6311,7026,2314,1648,3369,0,0,0,0,0,0,0.003968774599842561,0.0036703982382088455,0.00410612760581175,495.3636363636364,482.9491525423729,499.8032786885246,1000,915,1000,455.04477611940297,438.3692307692308,461.77966101694915,1000,915,1000,0.5505043422323267,"[""{\""bounded_worker_limit_requested\"": false, \""iowq_worker_limit_query_attempted\"": true, \""iowq_worker_limit_registration_attempted\"": false, \""iowq_worker_limit_registration_supported\"": true, \""post_set_bounded_worker_max\"": null, \""post_set_query_error\"": \""\"", \""post_set_unbounded_worker_max\"": null, \""previous_bounded_worker_max\"": 16, \""previous_unbounded_worker_max\"": 63206, \""query_error\"": \""\"", \""registration_error\"": \""\"", \""registration_returned_bounded_worker_max\"": null, \""registration_returned_unbounded_worker_max\"": null, \""requested_bounded_worker_max\"": null, \""requested_unbounded_worker_max\"": null, \""unbounded_worker_limit_requested\"": false}"", ""{\""bounded_worker_limit_requested\"": false, \""iowq_worker_limit_query_attempted\"": true, \""iowq_worker_limit_registration_attempted\"": false, \""iowq_worker_limit_registration_supported\"": true, \""post_set_bounded_worker_max\"": null, \""post_set_query_error\"": \""\"", \""post_set_unbounded_worker_max\"": null, \""previous_bounded_worker_max\"": 16, \""previous_unbounded_worker_max\"": 63206, \""query_error\"": \""\"", \""registration_error\"": \""\"", \""registration_returned_bounded_worker_max\"": null, \""registration_returned_unbounded_worker_max\"": null, \""requested_bounded_worker_max\"": null, \""requested_unbounded_worker_max\"": null, \""unbounded_worker_limit_requested\"": false}"", ""{\""bounded_worker_limit_requested\"": false, \""iowq_worker_limit_query_attempted\"": true, \""iowq_worker_limit_registration_attempted\"": false, \""iowq_worker_limit_registration_supported\"": true, \""post_set_bounded_worker_max\"": null, \""post_set_query_error\"": \""\"", \""post_set_unbounded_worker_max\"": null, \""previous_bounded_worker_max\"": 16, \""previous_unbounded_worker_max\"": 63206, \""query_error\"": \""\"", \""registration_error\"": \""\"", \""registration_returned_bounded_worker_max\"": null, \""registration_returned_unbounded_worker_max\"": null, \""requested_bounded_worker_max\"": null, \""requested_unbounded_worker_max\"": null, \""unbounded_worker_limit_requested\"": false}""]"
U4,1000,7423.028009692173,7410.334353693212,8402.456280102488,5.12076452,5.109505171,5.127973744,0.516031,0.514374,0.577885,10.993186,10.839207,12.747972,2.2443985820844716,2.222050985375155,2.602317866395466,302.87413157894736,299.34562855937565,309.70918260627053,15,15,15,11,11,11,2,2,2,28,22,46,163359,158622,182280,103953,103304,131192,0,0,0,0,0,0,1.3523684210526317,1.3157825353300991,1.3674436981430265,1.366760903402052,1.3624955181068483,1.3900678028220634,411,197,669,1.522740933680625,1.471763297417479,1.5720799137859571,31,30,47,0.7381532764468187,"[""{\""bounded_worker_limit_requested\"": false, \""iowq_worker_limit_query_attempted\"": true, \""iowq_worker_limit_registration_attempted\"": true, \""iowq_worker_limit_registration_supported\"": true, \""post_set_bounded_worker_max\"": 16, \""post_set_query_error\"": \""\"", \""post_set_unbounded_worker_max\"": 4, \""previous_bounded_worker_max\"": 16, \""previous_unbounded_worker_max\"": 63206, \""query_error\"": \""\"", \""registration_error\"": \""\"", \""registration_returned_bounded_worker_max\"": 16, \""registration_returned_unbounded_worker_max\"": 63206, \""requested_bounded_worker_max\"": 16, \""requested_unbounded_worker_max\"": 4, \""unbounded_worker_limit_requested\"": true}"", ""{\""bounded_worker_limit_requested\"": false, \""iowq_worker_limit_query_attempted\"": true, \""iowq_worker_limit_registration_attempted\"": true, \""iowq_worker_limit_registration_supported\"": true, \""post_set_bounded_worker_max\"": 16, \""post_set_query_error\"": \""\"", \""post_set_unbounded_worker_max\"": 4, \""previous_bounded_worker_max\"": 16, \""previous_unbounded_worker_max\"": 63206, \""query_error\"": \""\"", \""registration_error\"": \""\"", \""registration_returned_bounded_worker_max\"": 16, \""registration_returned_unbounded_worker_max\"": 63206, \""requested_bounded_worker_max\"": 16, \""requested_unbounded_worker_max\"": 4, \""unbounded_worker_limit_requested\"": true}"", ""{\""bounded_worker_limit_requested\"": false, \""iowq_worker_limit_query_attempted\"": true, \""iowq_worker_limit_registration_attempted\"": true, \""iowq_worker_limit_registration_supported\"": true, \""post_set_bounded_worker_max\"": 16, \""post_set_query_error\"": \""\"", \""post_set_unbounded_worker_max\"": 4, \""previous_bounded_worker_max\"": 16, \""previous_unbounded_worker_max\"": 63206, \""query_error\"": \""\"", \""registration_error\"": \""\"", \""registration_returned_bounded_worker_max\"": 16, \""registration_returned_unbounded_worker_max\"": 63206, \""requested_bounded_worker_max\"": 16, \""requested_unbounded_worker_max\"": 4, \""unbounded_worker_limit_requested\"": true}""]"
default,1000,8485.244080533143,8365.410683196695,9650.484223532574,5.098613997,5.075496614,5.124307514,0.308319,0.281433,0.363595,12.691116,12.290533,15.214318,2.53681789480521,2.481876056403883,3.053051194489478,298.9681700052896,296.68310981900026,316.3624874951512,1011,989,1014,11,10,14,2,2,2,657,641,824,55081,38625,60528,29386,27779,31835,0,0,0,0,0,0,0.30399484832455553,0.16775892693085073,0.37376910813092,4.454107764802295,3.6880242109814096,8.08934764657308,961,847,993,11.215114779468662,8.861832536879286,19.352429869616753,754,709,855,0.8437810973255713,"[""{\""bounded_worker_limit_requested\"": false, \""iowq_worker_limit_query_attempted\"": true, \""iowq_worker_limit_registration_attempted\"": false, \""iowq_worker_limit_registration_supported\"": true, \""post_set_bounded_worker_max\"": null, \""post_set_query_error\"": \""\"", \""post_set_unbounded_worker_max\"": null, \""previous_bounded_worker_max\"": 16, \""previous_unbounded_worker_max\"": 63206, \""query_error\"": \""\"", \""registration_error\"": \""\"", \""registration_returned_bounded_worker_max\"": null, \""registration_returned_unbounded_worker_max\"": null, \""requested_bounded_worker_max\"": null, \""requested_unbounded_worker_max\"": null, \""unbounded_worker_limit_requested\"": false}"", ""{\""bounded_worker_limit_requested\"": false, \""iowq_worker_limit_query_attempted\"": true, \""iowq_worker_limit_registration_attempted\"": false, \""iowq_worker_limit_registration_supported\"": true, \""post_set_bounded_worker_max\"": null, \""post_set_query_error\"": \""\"", \""post_set_unbounded_worker_max\"": null, \""previous_bounded_worker_max\"": 16, \""previous_unbounded_worker_max\"": 63206, \""query_error\"": \""\"", \""registration_error\"": \""\"", \""registration_returned_bounded_worker_max\"": null, \""registration_returned_unbounded_worker_max\"": null, \""requested_bounded_worker_max\"": null, \""requested_unbounded_worker_max\"": null, \""unbounded_worker_limit_requested\"": false}"", ""{\""bounded_worker_limit_requested\"": false, \""iowq_worker_limit_query_attempted\"": true, \""iowq_worker_limit_registration_attempted\"": false, \""iowq_worker_limit_registration_supported\"": true, \""post_set_bounded_worker_max\"": null, \""post_set_query_error\"": \""\"", \""post_set_unbounded_worker_max\"": null, \""previous_bounded_worker_max\"": 16, \""previous_unbounded_worker_max\"": 63206, \""query_error\"": \""\"", \""registration_error\"": \""\"", \""registration_returned_bounded_worker_max\"": null, \""registration_returned_unbounded_worker_max\"": null, \""requested_bounded_worker_max\"": null, \""requested_unbounded_worker_max\"": null, \""unbounded_worker_limit_requested\"": false}""]"
